0.03333,MOT_mc_bg_black_00,seat100-0,,
2.03313,MOT_all,cut1,,
2.46642,MOT_control_all,1a_01,,
128.02053,1,j1-2,,,
128.02053,3,sj4,,,
128.02053,2,sj1,,,
128.02053,4,sj1,,,
128.02053,5,sj2,,,
128.48714999999999,1,lp2,,,
128.52048,5,w2,,,
128.52048,4,w1,,,
128.52048,3,w4,,,
128.52048,2,w1,,,
128.78712,1,j2-3,,,
129.3204,1,j3-4,,,
129.72036,1,4-1,,,
129.72036,3,4-1,,,
129.72036,2,1-2,,,
129.72036,5,2-3,,,
129.72036,4,1-2,,,
130.08699,1,j1-2,,,
130.08699,2,j2-3,,,
130.08699,3,j1-2,,,
130.08699,4,j2-3,,,
130.08699,5,j3-4,,,
130.42029,MOT_control_all,3C_04,,
130.62027,3,2-3,,f0,
130.62027,1,2-3,,,
130.62027,2,3-4,,f0,
130.62027,4,3-4,,f0,
130.62027,5,4-1,,f0,
130.9869,1,lp3,,,
130.9869,2,lp4,,,
130.9869,3,lp3,,,
130.9869,4,lp4,,,
130.9869,5,lp1,,,
131.3202,1,3-4,,,
131.3202,3,3-4,lb1,,
131.3202,2,4-1,rb1,,
131.3202,5,1-2,lb1,,
131.3202,4,4-1,rb1,,
131.68683,1,lp4,,,
131.68683,2,lp1,,,
131.68683,3,lp4,,,
131.68683,4,lp1,,,
131.68683,5,lp2,,,
131.88681,1,j4-1,,,
131.88681,2,j1-2,,,
131.88681,3,j4-1,,,
131.88681,4,j1-2,,,
131.88681,5,j2-3,,,
132.42009,1,hj1,,,
132.42009,3,hj1,,,
132.42009,2,hj2,,,
132.42009,5,hj3,,,
132.42009,4,hj2,,,
133.6533,5,w3,,,
133.6533,4,w2,,,
133.6533,3,w1,,,
133.6533,2,w2,,,
133.6533,1,w1,,,
