0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_mc_light_under_00,l1,,
0.03333,MOT_mc_light_up_00,l1,,
0.03333,MOT_mc_special_01,lp1,,
120.18798,1,j3-4,,,
120.18798,5,j1-2,,,
120.18798,4,j4-1,,,
120.3213,2,j1-2,,,
120.3213,3,j2-3,,,
120.9879,1,j4-1,,,
120.9879,2,j2-3,,,
120.9879,3,j3-4,,,
120.9879,4,j1-2,,,
120.9879,5,j2-3,,,
121.45451999999999,1,lp1,,,
121.45451999999999,2,lp3,,,
121.45451999999999,3,lp4,,,
121.45451999999999,4,lp2,,,
121.45451999999999,5,lp3,,,
122.08779,1,1-2,,,
122.08779,2,3-4,,,
122.08779,3,4-1,,,
122.08779,4,2-3,,,
122.08779,5,3-4,,,
122.48774999999999,MOT_mc_stage_color_00,b-flash,,
122.48774999999999,MOT_mc_bg_black_00,b00-45,,
122.48774999999999,MOT_mc_special_03,cut1,,
122.48774999999999,MOT_mc_back_00,lp1,,
122.48774999999999,MOT_mc_light_up_00,l2_lp,,
122.48774999999999,1,hj2,,,
122.48774999999999,2,hj4,,,
122.48774999999999,3,hj1,,,
122.48774999999999,4,hj3,,,
122.48774999999999,5,hj4,,,
122.48774999999999,MOT_all,cut04,,
123.72095999999999,5,w4,,,
123.72095999999999,4,w3,,,
123.72095999999999,3,w1,,,
123.72095999999999,2,w4,,,
123.72095999999999,1,w2,,,
