0.03333,MOT_all,cut1,,
0.03333,MOT_control_all,stay,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,2,sort,-500,
0.03333,3,sort,-500,
0.16665,MOT_mc_special_01,open,,
0.53328,MOT_mc_bg_black_00,seat100-0,,
1.46652,MOT_control_all,sing01,,
110.85557999999999,3,j4-1,,,
110.9889,4,j1-2,,,
110.9889,5,j4-1,,,
111.28886999999999,1,lp1,,,
111.28886999999999,2,lp3,,,
111.28886999999999,3,lp1,,,
111.28886999999999,4,lp2,,,
111.28886999999999,5,lp1,,,
111.68883,1,1-2,r1,,
111.68883,4,2-3,r1,,
111.68883,2,3-4,r1,,
111.68883,3,1-2,r1,,
111.68883,5,1-2,r1,,
112.05546,1,2-3,,,
112.05546,4,3-4,,,
112.05546,2,4-1,,,
112.05546,3,2-3,,,
112.05546,5,2-3,,,
112.42209,1,3-4,r2,,
112.42209,4,4-1,r2,,
112.42209,2,1-2,r2,,
112.42209,3,3-4,r2,,
112.42209,5,3-4,r2,,
112.72206,1,lp4,,,
112.72206,2,lp2,,,
112.72206,3,lp4,,,
112.72206,4,lp1,,,
112.72206,5,lp4,,,
113.02203,1,sj4,,,
113.02203,2,sj2,,,
113.02203,3,sj4,,,
113.02203,4,sj1,,,
113.02203,5,sj4,,,
113.42199,1,4-1,,,
113.42199,2,2-3,,,
113.42199,3,4-1,,,
113.42199,4,1-2,,,
113.42199,5,4-1,,,
113.68862999999999,1,sj1,,,
113.68862999999999,2,sj3,,,
113.68862999999999,3,sj1,,,
113.68862999999999,4,sj2,,,
113.68862999999999,5,sj1,,,
114.05525999999999,1,1-2,rb1,,
114.05525999999999,4,2-3,rb1,,
114.05525999999999,2,3-4,rb1,,
114.05525999999999,3,1-2,rb1,,
114.05525999999999,5,1-2,rb1,,
114.48854999999999,1,2-3,rb0,,
114.48854999999999,4,3-4,rb0,,
114.48854999999999,2,4-1,rb0,,
114.48854999999999,3,2-3,rb0,,
114.48854999999999,5,2-3,rb0,,
114.88851,1,j3-4,,,
114.88851,2,j1-2,,,
114.88851,3,j3-4,,,
114.88851,4,j4-1,,,
114.88851,5,j3-4,,,
115.3218,1,j4-1,,,
115.75509,2,j2-3,,,
115.75509,3,j4-1,,,
115.95506999999999,5,w4,,,
115.95506999999999,4,w1,,,
116.18838,4,j1-2,,,
116.18838,5,j4-1,,,
116.38835999999999,1,w1,,,
116.62167,1,1-2,,,
116.62167,2,3-4,,,
116.62167,3,1-2,,,
116.62167,4,2-3,,,
116.62167,5,1-2,,,
117.02163,4,sp3-4,,,
117.02163,5,sp2-3,,,
117.12162,2,sp4-1,,,
117.12162,3,sp2-3,,,
117.22161,1,sp2-3,,,
117.72156,1,sj3,,,
117.78822,2,sj1,,,
117.78822,3,sj3,,,
117.85488,4,sj4,,,
117.85488,5,sj3,,,
118.08819,1,j3-4,,,
118.22151,2,j1-2,,,
118.22151,3,j3-4,,,
118.35482999999999,5,w3,,,
118.35482999999999,4,j4-1,,,
118.35482999999999,5,j3-4,,,
118.82145,1,4-1,,,
118.92143999999999,2,2-3,,,
118.92143999999999,3,4-1,,,
119.02143,4,1-2,,,
119.02143,5,4-1,,,
119.45472,4,2-3,,,
119.45472,5,1-2,,,
119.55471,2,3-4,,,
119.55471,3,1-2,,,
119.65469999999999,1,1-2,,,
120.25464,1,hj2,,,
120.28797,2,hj4,,,
120.28797,3,hj2,,,
120.3213,4,hj3,,,
120.3213,5,hj2,,,
121.48785,1,j2-3,,,
121.52118,3,w2,,,
121.52118,2,w4,,,
121.55451,5,w2,,,
121.55451,4,w3,,,
122.05445999999999,2,j4-1,,,
122.05445999999999,3,j2-3,,,
122.38776,4,j3-4,,,
122.38776,5,j2-3,,,
122.55440999999999,1,w3,,,
122.82105,1,lp3,,,
122.82105,2,lp1,,,
122.82105,3,lp3,,,
122.82105,4,lp4,,,
122.82105,5,lp3,,,
125.32079999999999,1,3-4,,,
125.32079999999999,2,1-2,,,
125.32079999999999,3,3-4,,,
125.32079999999999,4,4-1,,,
125.32079999999999,5,3-4,,,
125.48745,MOT_mc_stage_color_00,b-flash,,
125.52077999999999,MOT_mc_light_up_00,l2,,
126.25403999999999,5,w4,,,
126.25403999999999,4,w1,,,
126.25403999999999,3,w4,,,
126.25403999999999,2,w2,,,
126.25403999999999,1,w4,,,
