0.03333,MOT_all,sky_cut01,,
0.03333,MOT_mc_bg_black_00,b80,,
0.03333,MOT_mc_special_03,g,,
0.03333,MOT_control_all,zoom_sky,,
105.05615999999999,1,1-2,,,
105.38946,1,sj2,,,
105.72276,2,1-2,,,
105.72276,3,1-2,,,
105.72276,4,1-2,,,
105.72276,5,1-2,,,
105.72276,1,j2-3,,,
106.02273,2,2-3,,,
106.02273,3,2-3,,,
106.02273,4,2-3,,,
106.02273,5,2-3,,,
106.12272,1,lp3,,,
106.3227,2,sj3,,,
106.3227,3,sj3,,,
106.3227,4,sj3,,,
106.3227,5,sj3,,,
106.68933,2,sj3,,,
106.68933,3,sj3,,,
106.68933,4,sj3,,,
106.68933,5,sj3,,,
107.05596,2,3-4,,,
107.05596,3,3-4,,,
107.05596,4,3-4,,,
107.05596,5,3-4,,,
107.35593,2,4-1,,,
107.35593,3,4-1,,,
107.35593,4,4-1,,,
107.35593,5,4-1,,,
107.35593,1,3-4,,,
107.68923,2,sj1,,,
107.68923,3,sj1,,,
107.68923,4,sj1,,,
107.68923,5,sj1,,,
107.68923,1,4-1,,,
107.95586999999999,1,j1-2,,,
108.18918,5,w1,,,
108.18918,4,w1,,,
108.18918,3,w1,,,
108.18918,2,w1,,,
108.28917,1,lp2,,,
108.68912999999999,1,2-3,,,
108.9891,1,lp3,,,
109.48904999999999,1,3-4,,,
109.78902,1,sp4-1,,,
111.35553,1,1-2,,,
111.35553,2,1-2,,,
111.35553,3,1-2,,,
111.35553,4,1-2,,,
111.35553,5,1-2,,,
111.65549999999999,2,2-3,,,
111.65549999999999,3,2-3,,,
111.65549999999999,4,2-3,,,
111.65549999999999,5,2-3,,,
111.65549999999999,1,2-3,,,
111.92214,1,j3-4,,,
112.25544,1,lp4,,,
112.58874,5,w3,,,
112.58874,4,w3,,,
112.58874,3,w3,,,
112.58874,2,w3,,,
112.6554,1,4-1,,,
112.9887,1,1-2,,,
113.32199999999999,1,sj2,,,
113.32199999999999,2,sj3,,,
113.32199999999999,3,sj3,,,
113.32199999999999,4,sj3,,,
113.32199999999999,5,sj3,,,
113.68862999999999,2,lp3,,,
113.68862999999999,3,lp3,,,
113.68862999999999,4,lp3,,,
113.68862999999999,5,lp3,,,
113.68862999999999,1,2-3,,,
114.08859,1,sj3,,,
114.58854,1,j3-4,,,
114.62187,2,3-4,r1,,
114.62187,4,3-4,r1,,
114.62187,3,3-4,l1,,
114.62187,5,3-4,l1,,
115.35512999999999,2,4-1,r2,,
115.35512999999999,4,4-1,r2,,
115.35512999999999,3,4-1,l2,,
115.35512999999999,5,4-1,l2,,
115.35512999999999,1,4-1,,,
115.88841,1,j1-2,,,
115.88841,2,j1-2,,,
115.88841,3,j1-2,,,
115.88841,4,j1-2,,,
115.88841,5,j1-2,,,
116.25504,MOT_mc_stage_color_00,b-flash,,
116.28837,1,2-3,,,
116.62167,1,sj3,,,
116.95496999999999,5,w2,,,
116.95496999999999,4,w2,,,
116.95496999999999,3,w2,,,
116.95496999999999,2,w2,,,
116.9883,1,sj3,,,
117.28827,4,j2-3,,,
117.32159999999999,2,j2-3,,,
117.35493,1,j3-4,,,
117.38825999999999,3,j2-3,,,
117.42159,5,j2-3,,,
118.05485999999999,1,4-1,,,
118.05485999999999,2,3-4,,,
118.05485999999999,3,3-4,,,
118.05485999999999,4,3-4,,,
118.05485999999999,5,3-4,,,
118.52148,1,j1-2,,,
118.52148,2,j4-1,,,
118.52148,3,j4-1,,,
118.52148,4,j4-1,,,
118.52148,5,j4-1,,,
118.92143999999999,1,lp2,,,
118.92143999999999,2,lp1,,,
118.92143999999999,3,lp1,,,
118.92143999999999,4,lp1,,,
118.92143999999999,5,lp1,,,
119.45472,2,1-2,rb1,,
119.45472,4,1-2,rb1,,
119.45472,3,1-2,lb1,,
119.45472,5,1-2,lb1,,
119.45472,1,2-3,,,
119.82135,2,,rb0,,
119.82135,4,,rb0,,
119.82135,3,,lb0,,
119.82135,5,,lb0,,
119.82135,1,lp3,,,
120.3213,1,3-4,,,
120.3213,2,2-3,,,
120.3213,3,2-3,,,
120.3213,4,2-3,,,
120.3213,5,2-3,,,
120.48795,1,,,,D40
120.55461,MOT_mc_stage_color_00,b-flash,,
120.62127,MOT_mc_special_02,out_g,,
120.62127,MOT_mc_speaker_00,clock_g-r,,
120.62127,1,,,,D60
120.62127,2,,,,D60
120.62127,3,,,,D60
120.62127,4,,,,D60
120.62127,5,,,,D60
120.65459999999999,1,lp4,,,
120.65459999999999,2,lp3,,,
120.65459999999999,3,lp3,,,
120.65459999999999,4,lp3,,,
120.65459999999999,5,lp3,,,
120.75459,1,,,,D80
120.75459,2,,,,D80
120.75459,3,,,,D80
120.75459,4,,,,D80
120.75459,5,,,,D80
121.88780999999999,MOT_all,sky_cut03,,
123.02103,1,,,,L40
123.02103,2,,,,L40
123.02103,3,,,,L40
123.02103,4,,,,L40
123.02103,5,,,,L40
125.78742,5,3-4,,,
125.78742,4,3-4,,,
125.82074999999999,MOT_mc_bg_black_00,b20-45,,
126.02073,MOT_mc_stage_color_00,b-flash,,
126.72066,5,w4,,,
126.72066,4,w4,,,
126.75398999999999,MOT_mc_bg_black_00,b45-65,,
126.78732,1,,,,D60
126.78732,2,,,,D60
126.78732,3,,,,D60
126.78732,4,,,,D60
126.78732,5,,,,D60
126.85397999999999,2,3-4,,,
126.85397999999999,3,3-4,,,
126.88731,MOT_mc_stage_color_00,b-flash,,
127.78721999999999,3,w4,,,
127.78721999999999,2,w4,,,
127.95387,MOT_mc_bg_black_00,b65-80,,
127.95387,1,,,,D80
127.95387,2,,,,D80
127.95387,3,,,,D80
127.95387,4,,,,D80
127.95387,5,,,,D80
128.02053,1,4-1,,,
128.08719,MOT_mc_stage_color_00,b-flash,,
128.72046,1,,,,D100
128.72046,2,,,,D100
128.72046,3,,,,D100
128.72046,4,,,,D100
128.72046,5,,,,D100
128.75378999999998,MOT_mc_light_under_00,l2,,
128.75378999999998,MOT_mc_light_center_00,l1,,
128.75378999999998,MOT_mc_light_up_00,l1,,
128.95377,1,w1,,,
