0.03333,MOT_all,cut1,,
0.03333,MOT_mc_bg_black_00,b65,,
2.0664599999999997,MOT_mc_stage_color_00,r-flash,,
121.05456,3,3-4,,,
121.28787,4,1-2,,,
121.28787,5,1-2,,,
121.62116999999999,1,2-3,,,
121.62116999999999,2,4-1,,,
121.62116999999999,3,4-1,,,
121.62116999999999,4,2-3,,,
121.62116999999999,5,2-3,,,
121.95447,1,j3-4,,,
121.95447,2,j1-2,,,
121.95447,3,j1-2,,,
121.95447,4,j3-4,,,
121.95447,5,j3-4,,,
122.02113,MOT_mc_stage_color_00,r-flash,,
122.05445999999999,MOT_mc_bg_black_00,b0-45,,
123.02103,5,w4,,,
123.02103,4,w4,,,
123.02103,3,w2,,,
123.02103,2,w2,,,
123.02103,1,w4,,,
