0.00000,3,sort,-3000,
0.00000,4,sort,-3000,
0.00000,5,sort,-3000,
0.06666,MOT_all,ppd_cut1,,
120.48795,MOT_mc_stage_color_00,b-flash,,
120.58793999999999,2,j4-1,,,
120.58793999999999,4,j1-2,,,
120.82124999999999,5,w2,,,
120.82124999999999,1,w3,,,
121.18787999999999,MOT_mc_stage_color_00,y-flash,,
121.28787,1,3-4,,,
121.28787,2,1-2,,,
121.28787,3,1-2,,,
121.28787,4,2-3,,,
121.28787,5,2-3,,,
121.95447,1,hj4,,,
121.95447,2,hj2,,,
121.95447,3,hj2,,,
121.95447,4,hj3,,,
121.95447,5,hj3,,,
122.12111999999999,MOT_mc_stage_color_00,r-flash,,
123.18768,5,w3,,,
123.18768,4,w3,,,
123.18768,3,w2,,,
123.18768,2,w2,,,
123.18768,1,w4,,,
123.85427999999999,MOT_mc_light_up_00,l1,,
123.85427999999999,MOT_mc_speaker_00,temp4,,
123.85427999999999,MOT_mc_bg_black_00,b45-65,,
123.85427999999999,MOT_mc_stage_color_00,b-flash,,
