0.03333,MOT_all,Dcut1,,
0.03333,MOT_control_all,Dzoom_1,,
110.12232,4,3-4,,,
110.12232,5,3-4,,,
110.68893,1,2-3,,,
110.78891999999999,2,4-1,,,
110.78891999999999,3,4-1,,,
110.85557999999999,4,4-1,,,
110.85557999999999,5,4-1,,,
111.52217999999999,1,3-4,,,
111.62217,2,1-2,,,
111.62217,3,1-2,,,
111.68883,4,1-2,,,
111.68883,5,1-2,,,
112.38875999999999,1,j4-1,,,
112.55541,3,w2,,,
112.55541,2,w2,,,
112.62207,5,w2,,,
112.62207,4,w2,,,
112.62207,2,j2-3,,,
112.62207,3,j2-3,,,
112.82204999999999,4,j2-3,,,
112.82204999999999,5,j2-3,,,
113.08869,1,j1-2,,,
113.32199999999999,2,j3-4,,,
113.32199999999999,3,j3-4,,,
113.52198,4,j3-4,,,
113.52198,5,j3-4,,,
114.15525,1,w2,,,
114.35522999999999,2,j4-1,,,
114.35522999999999,3,j4-1,,,
114.45522,MOT_mc_stage_color_00,r-flash,,
114.58854,5,w4,,,
114.58854,4,w4,,,
114.75519,4,j4-1,,,
114.75519,5,j4-1,,,
114.88851,MOT_mc_stage_color_00,b-flash,,
115.25514,1,j2-3,,,
115.35512999999999,MOT_mc_stage_color_00,y-flash,,
115.42179,3,w1,,,
115.42179,2,w1,,,
115.82175,5,w1,,,
115.82175,4,w1,,,
116.05506,1,3-4,,,
116.05506,2,1-2,,,
116.05506,3,1-2,,,
116.05506,4,1-2,,,
116.05506,5,1-2,,,
116.38835999999999,2,j2-3,l1,,
116.38835999999999,3,j2-3,r1,,
116.655,1,j4-1,,,
116.655,4,j2-3,l1,,
116.655,5,j2-3,r1,,
116.88830999999999,2,j3-4,,,
116.88830999999999,3,j3-4,,,
117.18827999999999,1,j1-2,,,
117.18827999999999,4,j3-4,,,
117.18827999999999,5,j3-4,,,
117.85488,1,j2-3,,,
117.85488,2,j4-1,,,
117.85488,3,j4-1,,,
117.85488,4,j4-1,,,
117.85488,5,j4-1,,,
118.38816,1,3-4,,,
118.38816,4,1-2,lb0,,
118.38816,5,1-2,rb0,,
118.52148,2,1-2,lb0,,
118.52148,3,1-2,rb0,,
118.85477999999999,1,4-1,,,
118.85477999999999,2,2-3,,,
118.85477999999999,3,2-3,,,
118.85477999999999,4,2-3,,,
118.85477999999999,5,2-3,,,
119.3214,1,j1-2,,,
119.3214,2,j3-4,,,
119.3214,3,j3-4,,,
119.3214,4,j3-4,,,
119.3214,5,j3-4,,,
119.82135,1,2-3,,,
119.82135,2,4-1,,,
119.82135,3,4-1,,,
119.82135,4,4-1,,,
119.82135,5,4-1,,,
120.15464999999999,1,j3-4,,,
120.15464999999999,4,j1-2,l1,,
120.15464999999999,5,j1-2,r1,,
120.35463,2,j1-2,l1,,
120.35463,3,j1-2,r1,,
121.02122999999999,1,j4-1,,,
121.02122999999999,2,j2-3,,,
121.02122999999999,3,j2-3,,,
121.02122999999999,4,j2-3,,,
121.02122999999999,5,j2-3,,,
121.15455,MOT_mc_stage_color_00,r-flash,,
121.58784,MOT_mc_stage_color_00,b-flash,,
121.58784,1,1-2,,,
121.58784,2,3-4,,,
121.58784,3,3-4,,,
121.58784,4,3-4,,,
121.58784,5,3-4,,,
122.02113,1,2-3,,,
122.02113,4,4-1,,,
122.02113,5,4-1,,,
122.02113,2,4-1,,,
122.02113,3,4-1,,,
122.55440999999999,1,3-4,,,
122.55440999999999,2,1-2,,,
122.55440999999999,3,1-2,,,
122.55440999999999,4,1-2,,,
122.55440999999999,5,1-2,,,
123.42098999999999,2,j2-3,,,
123.42098999999999,3,j2-3,,,
123.48764999999999,5,w2,,,
123.48764999999999,4,w2,,,
123.48764999999999,1,w4,,,
123.68763,4,j2-3,,,
123.68763,5,j2-3,,,
123.92093999999999,1,j4-1,,,
124.22090999999999,1,1-2,,,
124.22090999999999,2,3-4,,,
124.22090999999999,3,3-4,,,
124.22090999999999,4,3-4,,,
124.22090999999999,5,3-4,,,
124.65419999999999,1,j2-3,,,
124.65419999999999,2,j4-1,,,
124.65419999999999,3,j4-1,,,
124.65419999999999,4,j4-1,,,
124.65419999999999,5,j4-1,,,
125.08748999999999,MOT_control_all,Dzoom_7,,
125.15415,1,3-4,,,
125.15415,4,1-2,lb0,,
125.15415,5,1-2,rb0,,
125.32079999999999,2,1-2,lb0,,
125.32079999999999,3,1-2,rb0,,
125.6541,1,4-1,,,
125.6541,2,2-3,,,
125.6541,3,2-3,,,
125.6541,4,2-3,,,
125.6541,5,2-3,,,
125.9874,1,j1-2,,,
125.9874,2,j3-4,,,
125.9874,3,j3-4,,,
125.9874,4,j3-4,,,
125.9874,5,j3-4,,,
126.68732999999999,1,2-3,,,
126.68732999999999,2,4-1,,,
126.68732999999999,3,4-1,,,
126.68732999999999,4,4-1,,,
126.68732999999999,5,4-1,,,
127.08729,4,1-2,,,
127.08729,5,1-2,,,
127.28726999999999,2,1-2,,,
127.28726999999999,3,1-2,,,
127.28726999999999,1,3-4,,,
127.62057,1,j4-1,,,
127.62057,2,j2-3,,,
127.62057,3,j2-3,,,
127.62057,4,j2-3,,,
127.62057,5,j2-3,,,
128.55381,1,1-2,,,
128.55381,2,3-4,,,
128.55381,3,3-4,,,
128.55381,4,3-4,,,
128.55381,5,3-4,,,
128.85378,1,2-3,,,
128.85378,2,4-1,,,
128.85378,3,4-1,,,
128.85378,4,4-1,,,
128.85378,5,4-1,,,
129.22041,1,3-4,,,
129.22041,2,1-2,,,
129.22041,3,1-2,,,
129.22041,4,1-2,,,
129.22041,5,1-2,,,
129.58704,1,j4-1,,,
129.58704,2,j2-3,,,
129.58704,3,j2-3,,,
129.58704,4,j2-3,,,
129.58704,5,j2-3,,,
130.08699,1,1-2,,,
130.08699,2,3-4,,,
130.08699,3,3-4,,,
130.08699,4,3-4,,,
130.08699,5,3-4,,,
130.45362,1,2-3,,,
130.45362,2,4-1,,,
130.45362,3,4-1,,,
130.45362,4,4-1,,,
130.45362,5,4-1,,,
131.38685999999998,5,w1,,,
131.38685999999998,4,w1,,,
131.38685999999998,3,w1,,,
131.38685999999998,2,w1,,,
131.38685999999998,1,w3,,,
132.02013,1,j3-4,,,
132.15345,MOT_mc_stage_color_00,y-flash,,
132.15345,2,j1-2,,,
132.15345,3,j1-2,,,
132.15345,MOT_mc_back_00,lt_1,,
132.3201,4,j1-2,,,
132.3201,5,j1-2,,,
133.08669,1,w4,,,
133.22001,3,w2,,,
133.22001,2,w2,,,
133.38666,5,w2,,,
133.38666,4,w2,,,
133.41998999999998,MOT_all,Dcut2,,
133.41998999999998,1,,,,D40
