0.03333,MOT_all,cut1,,
0.03333,MOT_control_all,zoom1,,
0.06666,MOT_mc_special_03,y,,
103.62297,2,,,,D60
103.62297,3,,,,D60
103.62297,4,,,,D60
103.62297,5,,,,D60
103.62297,6,,,,D60
103.92294,1,sj4,,,
104.32289999999999,1,sj4,,,
104.45622,6,w3,,,
104.45622,4,w4,,,
104.45622,5,w2,,,
104.45622,2,w3,,,
104.45622,3,w3,,,
104.72286,1,lp4,,,
105.25614,1,4-1,,,
106.02273,1,1-2,r1,,
106.38936,1,2-3,,,
106.95597,1,3-4,rb0,,
107.78922,4,4-1,l1,,
107.78922,1,4-1,l1,,
107.78922,5,2-3,l1,,
107.88920999999999,4,,,,L0
107.88920999999999,5,,,,L0
108.15585,2,3-4,l1,,
108.15585,3,3-4,l1,,
108.15585,6,3-4,l1,,
108.22251,2,,,,L0
108.22251,3,,,,L0
108.22251,6,,,,L0
108.55581,1,j1-2,,,
108.55581,2,j4-1,,,
108.55581,3,j4-1,,,
108.55581,4,j1-2,,,
108.55581,5,j3-4,,,
108.55581,6,j4-1,,,
108.92244,1,lp2,,,
108.92244,2,lp1,,,
108.92244,3,lp1,,,
108.92244,4,lp2,,,
108.92244,5,lp4,,,
108.92244,6,lp1,,,
109.35573,4,2-3,lb0,,
109.45572,2,1-2,lb0,,
109.55570999999999,1,2-3,lb0,,
109.6557,3,1-2,lb0,,
109.75569,5,4-1,lb0,,
109.85567999999999,6,1-2,lb0,,
110.22231,1,j3-4,,,
110.22231,2,j2-3,,,
110.22231,3,j2-3,,,
110.22231,4,j3-4,,,
110.22231,5,j1-2,,,
110.22231,6,j2-3,,,
110.68893,1,4-1,,,
110.68893,2,3-4,,,
110.68893,3,3-4,,,
110.68893,4,4-1,,,
110.68893,5,2-3,,,
110.68893,6,3-4,,,
111.12222,4,1-2,r1,,
111.12222,1,1-2,r1,,
111.12222,5,3-4,r1,,
111.48885,2,4-1,r1,,
111.48885,3,4-1,r1,,
111.48885,6,4-1,r1,,
111.88880999999999,1,j2-3,,,
111.88880999999999,2,j1-2,,,
111.88880999999999,3,j1-2,,,
111.88880999999999,4,j2-3,,,
111.88880999999999,5,j4-1,,,
111.88880999999999,6,j1-2,,,
112.25544,1,lp3,,,
112.25544,2,lp2,,,
112.25544,3,lp2,,,
112.25544,4,lp3,,,
112.25544,5,lp1,,,
112.25544,6,lp2,,,
112.62207,6,2-3,rb0,,
112.72206,5,1-2,rb0,,
112.82204999999999,3,2-3,rb0,,
112.92204,1,3-4,rb0,,
113.02203,2,2-3,rb0,,
113.12201999999999,4,3-4,rb0,,
113.52198,1,4-1,,,
113.52198,2,3-4,,,
113.52198,3,3-4,,,
113.52198,4,4-1,,,
113.52198,5,2-3,,,
113.52198,6,3-4,,,
113.58864,3,,,,D20
113.58864,5,,,,D20
113.58864,6,,,,D20
113.72196,3,,,,D40
113.72196,5,,,,D40
113.72196,6,,,,D40
113.85528,3,,,,D60
113.85528,5,,,,D60
113.85528,6,,,,D60
113.98859999999999,1,1-2,,,
113.98859999999999,2,4-1,,,
113.98859999999999,4,1-2,,,
113.98859999999999,3,lp4,,,
113.98859999999999,5,lp3,,,
113.98859999999999,6,lp4,,,
114.38856,1,j2-3,,,
114.38856,2,j1-2,,,
114.38856,4,j2-3,,,
114.75519,1,lp3,,,
114.75519,2,lp2,,,
114.75519,4,lp3,,,
115.18848,1,3-4,,,
115.18848,2,2-3,,,
115.18848,4,3-4,,,
115.52177999999999,1,lp4,,,
115.52177999999999,2,lp3,,,
115.52177999999999,4,lp4,,,
116.08838999999999,1,j4-1,,,
116.08838999999999,2,j3-4,,,
116.08838999999999,4,j4-1,,,
116.45501999999999,1,sj1,,,
116.45501999999999,2,sj4,,,
116.45501999999999,4,sj1,,,
116.82164999999999,4,j1-2,,,
116.95496999999999,2,w4,,,
116.95496999999999,1,w1,,,
117.08829,2,j4-1,,,
117.35493,1,j1-2,,,
117.75488999999999,1,,,,D60
117.75488999999999,2,,,,D60
117.75488999999999,4,,,,D60
117.75488999999999,1,lp2,,,
117.75488999999999,2,lp1,,,
117.75488999999999,4,lp2,,,
117.75488999999999,3,4-1,,,
117.75488999999999,5,3-4,,,
117.75488999999999,6,4-1,,,
117.85488,3,,,,L0
117.85488,5,,,,L0
117.85488,6,,,,L0
118.15485,3,j1-2,,,
118.15485,5,j4-1,,,
118.15485,6,j1-2,,,
118.52148,3,lp2,,,
118.52148,5,lp1,,,
118.52148,6,lp2,,,
118.95477,3,2-3,,,
118.95477,5,1-2,,,
118.95477,6,2-3,,,
119.3214,3,j3-4,,,
119.3214,5,j2-3,,,
119.3214,6,j3-4,,,
119.75469,3,sp4-1,,,
119.75469,5,sp3-4,,,
119.75469,6,sp4-1,,,
121.02122999999999,3,j1-2,,,
121.02122999999999,5,j4-1,,,
121.02122999999999,6,j1-2,,,
121.75448999999999,6,j2-3,,,
122.02113,5,j1-2,,,
122.08779,3,w2,,,
122.28777,3,j2-3,,,
122.62106999999999,1,,,,L40
122.62106999999999,2,,,,L40
122.62106999999999,4,,,,L40
122.72106,1,j2-3,,,
122.72106,2,j1-2,,,
122.72106,3,j3-4,,,
122.72106,4,j2-3,,,
122.72106,5,j2-3,,,
122.72106,6,j3-4,,,
122.78772,1,,,,L20
122.78772,2,,,,L20
122.78772,4,,,,L20
122.95437,1,,,,L0
122.95437,2,,,,L0
122.95437,4,,,,L0
123.42098999999999,4,3-4,,,
123.48764999999999,2,2-3,,,
123.55431,1,3-4,,,
123.62097,3,4-1,,,
123.68763,5,3-4,,,
123.75429,6,4-1,,,
124.15424999999999,4,j4-1,,,
124.22090999999999,2,j3-4,,,
124.28756999999999,1,j4-1,,,
124.35423,3,j1-2,,,
124.42089,5,j4-1,,,
124.48755,6,j1-2,,,
124.85418,4,1-2,,,
124.92084,2,4-1,,,
124.9875,1,1-2,,,
125.05416,3,2-3,,,
125.12082,5,1-2,,,
125.15415,4,lp2,,,
125.18748,6,2-3,,,
125.22081,2,lp1,,,
125.28747,1,lp2,,,
125.35413,3,lp3,,,
125.42079,5,lp2,,,
125.48745,6,lp3,,,
126.52068,1,2-3,,,
126.52068,2,1-2,,,
126.52068,3,3-4,,,
126.52068,4,2-3,,,
126.52068,5,2-3,,,
126.52068,6,3-4,,,
126.92063999999999,1,j3-4,,,
126.92063999999999,3,j4-1,,,
127.15395,2,j2-3,,,
127.15395,5,j3-4,,,
127.38726,4,j3-4,,,
127.38726,6,j4-1,,,
127.68723,1,j4-1,,,
127.68723,2,j3-4,,,
127.68723,3,j1-2,,,
127.68723,4,j4-1,,,
127.68723,5,j4-1,,,
127.68723,6,j1-2,,,
128.15385,1,1-2,,,
128.15385,2,4-1,,,
128.15385,3,2-3,,,
128.15385,4,1-2,,,
128.15385,5,1-2,,,
128.15385,6,2-3,,,
128.55381,1,j2-3,,,
128.55381,3,j3-4,,,
128.78712,2,j1-2,,,
128.78712,5,j2-3,,,
129.02043,4,j2-3,,,
129.02043,6,j3-4,,,
129.3204,1,j3-4,,,
129.3204,2,j2-3,,,
129.3204,3,j4-1,,,
129.3204,4,j3-4,,,
129.3204,5,j3-4,,,
129.3204,6,j4-1,,,
129.78701999999998,1,4-1,,,
129.78701999999998,2,3-4,,,
129.78701999999998,3,1-2,,,
129.78701999999998,4,4-1,,,
129.78701999999998,5,4-1,,,
129.78701999999998,6,1-2,,,
130.18698,1,j1-2,,,
130.18698,2,j4-1,,,
130.18698,3,j2-3,,,
130.18698,4,j1-2,,,
130.18698,5,j1-2,,,
130.18698,6,j2-3,,,
130.62027,1,lp2,,,
130.62027,2,lp1,,,
130.62027,3,lp3,,,
130.62027,4,lp2,,,
130.62027,5,lp2,,,
130.62027,6,lp3,,,
131.42019,1,2-3,,,
131.42019,2,1-2,,,
131.42019,3,3-4,,,
131.42019,4,2-3,,,
131.42019,5,2-3,,,
131.42019,6,3-4,,,
131.85348,2,sort,-500,
131.85348,5,sort,-500,
131.85348,4,sort,-1000,
131.85348,6,sort,-1000,
131.85348,1,j3-4,,,
131.85348,2,j2-3,,,
131.85348,3,j4-1,,,
131.85348,4,j3-4,,,
131.85348,5,j3-4,,,
131.85348,6,j4-1,,,
132.25343999999998,1,lp4,,,
132.25343999999998,2,lp3,,,
132.25343999999998,3,lp1,,,
132.25343999999998,4,lp4,,,
132.25343999999998,5,lp4,,,
132.25343999999998,6,lp1,,,
132.68672999999998,2,j3-4,,,
132.68672999999998,5,j4-1,,,
132.88671,4,j4-1,,,
132.88671,6,j1-2,,,
133.12001999999998,1,j4-1,,,
133.12001999999998,3,j1-2,,,
133.55330999999998,1,j1-2,,,
133.55330999999998,2,j4-1,,,
133.55330999999998,3,j2-3,,,
133.55330999999998,4,j1-2,,,
133.55330999999998,5,j1-2,,,
133.55330999999998,6,j2-3,,,
133.95327,1,sj2,,,
133.95327,2,sj1,,,
133.95327,3,sj3,,,
133.95327,4,sj2,,,
133.95327,5,sj2,,,
133.95327,6,sj3,,,
134.35323,1,sj2,,,
134.35323,2,sj1,,,
134.35323,3,sj3,,,
134.35323,4,sj2,,,
134.35323,5,sj2,,,
134.35323,6,sj3,,,
134.75319,1,sj2,,,
134.75319,2,sj1,,,
134.75319,3,sj3,,,
134.75319,4,sj2,,,
134.75319,5,sj2,,,
134.75319,6,sj3,,,
135.15314999999998,1,sj2,,,
135.15314999999998,2,sj1,,,
135.15314999999998,3,sj3,,,
135.15314999999998,4,sj2,,,
135.15314999999998,5,sj2,,,
135.15314999999998,6,sj3,,,
135.51978,1,sj2,,,
135.51978,2,sj1,,,
135.51978,3,sj3,,,
135.51978,4,sj2,,,
135.51978,5,sj2,,,
135.51978,6,sj3,,,
135.88640999999998,1,sj2,,,
135.88640999999998,2,sj1,,,
135.88640999999998,3,sj3,,,
135.88640999999998,4,sj2,,,
135.88640999999998,5,sj2,,,
135.88640999999998,6,sj3,,,
136.38636,6,w3,,,
136.38636,4,w2,,,
136.38636,5,w2,,,
136.38636,2,w1,,,
136.38636,3,w3,,,
136.38636,1,w2,,,
