0.03333,MOT_control_all,mix1,,
0.03333,MOT_mc_speaker_00,l1,,
0.03333,MOT_all,cut1,,
0.03333,MOT_mc_special_03,w1,,
93.25734,1,2-3,l2,,
93.25734,4,2-3,l3,,
93.25734,5,2-3,l1,,
93.85728,2,1-2,l3,,
93.85728,3,1-2,l1,,
94.19058,5,w3,,,
94.19058,4,w3,,,
94.19058,1,w3,,,
94.42389,1,sp3-4,,,
94.42389,2,sp2-3,,,
94.42389,3,sp2-3,,,
94.42389,4,sp3-4,,,
94.42389,5,sp3-4,,,
94.92384,1,sj4,,,
94.92384,2,sj3,,,
94.92384,3,sj3,,,
94.92384,4,sj4,,,
94.92384,5,sj4,,,
95.42379,5,w4,,,
95.42379,4,w4,,,
95.42379,3,w3,,,
95.42379,2,w3,,,
95.42379,1,w4,,,
95.85708,MOT_mc_special_03,3-4,,
95.85708,MOT_all,mix1_07,,
96.02373,MOT_mc_special_01,l1,,
96.02373,1,4-1,lb1,,
96.02373,4,4-1,lb2,,
96.02373,5,4-1,lb0,,
96.42369,MOT_mc_special_03,lp4,,
96.59034,2,3-4,lb2,,
96.59034,3,3-4,lb0,,
96.95697,5,w1,,,
96.95697,4,w1,,,
96.95697,1,w1,,,
97.19028,1,1-2,lb0,,
97.19028,2,4-1,lb1,,
97.19028,3,4-1,r1,,
97.19028,4,1-2,lb1,,
97.19028,5,1-2,r1,,
97.89021,1,sp2-3,,,
97.89021,2,sp1-2,,,
97.89021,3,sp1-2,,,
97.89021,4,sp2-3,,,
97.89021,5,sp2-3,,,
98.65679999999999,1,sj3,,,
98.65679999999999,2,sj2,,,
98.65679999999999,3,sj2,,,
98.65679999999999,4,sj3,,,
98.65679999999999,5,sj3,,,
99.15675,5,w3,,,
99.15675,4,w3,,,
99.15675,3,w2,,,
99.15675,2,w2,,,
99.15675,1,w3,,,
99.22341,MOT_mc_special_03,4-1,,
99.22341,MOT_all,mix1_08,,
99.62337,MOT_mc_special_03,lp1,,
99.69003,2,sj2,,,
99.69003,3,sj2,,,
99.92334,2,2-3,,,
99.92334,3,2-3,,,
100.55660999999999,1,sj3,,,
100.55660999999999,4,sj3,,,
100.55660999999999,5,sj3,,,
100.78992,1,3-4,,,
100.78992,4,3-4,,,
100.78992,5,3-4,,,
100.85658,3,w3,,,
100.85658,2,w3,,,
101.52318,MOT_mc_special_03,sp1-2,,
101.52318,1,4-1,l1,,
101.52318,2,3-4,l2,,
101.52318,3,3-4,rb0,,
101.52318,4,4-1,l2,,
101.52318,5,4-1,rb0,,
102.45642,5,w1,,,
102.45642,4,w1,,,
102.45642,3,w4,,,
102.45642,2,w4,,,
102.45642,1,1-2,lb0,,
102.45642,2,4-1,lb1,,
102.45642,3,4-1,r1,,
102.45642,4,1-2,lb1,,
102.45642,5,1-2,r1,,
103.38965999999999,5,w2,,,
103.38965999999999,4,w2,,,
103.38965999999999,3,w1,,,
103.38965999999999,2,w1,,,
103.38965999999999,1,w2,,,
103.45631999999999,MOT_control_all,mix1_06,,
103.48965,MOT_mc_light_up_00,l1,,
103.48965,MOT_mc_light_center_00,l1,,
103.48965,MOT_mc_light_under_00,l1,,
103.48965,MOT_mc_speaker_00,l2,,
103.48965,MOT_mc_back_00,l2,,
103.48965,MOT_mc_special_01,l1,,
103.48965,MOT_mc_bg_black_00,b0-65,,
103.48965,MOT_mc_special_03,sj2,,
103.48965,1,2-3,,,
103.48965,2,1-2,,,
103.48965,3,1-2,,,
103.48965,4,2-3,,,
103.48965,5,2-3,,,
103.85628,MOT_mc_special_03,lp2,,
104.42289,5,w3,,,
104.42289,4,w3,,,
104.42289,3,w2,,,
104.42289,2,w2,,,
104.42289,1,w3,,,
105.08949,2,2-3,,,
105.08949,3,2-3,,,
105.42278999999999,2,sj3,,,
105.42278999999999,3,sj3,,,
105.92273999999999,3,w3,,,
105.92273999999999,2,w3,,,
105.98939999999999,1,3-4,,,
105.98939999999999,4,3-4,,,
105.98939999999999,5,3-4,,,
106.28936999999999,1,sj4,,,
106.28936999999999,4,sj4,,,
106.28936999999999,5,sj4,,,
106.78931999999999,5,w4,,,
106.78931999999999,4,w4,,,
106.78931999999999,1,w4,,,
107.05596,MOT_mc_stage_color_00,r-flash,,
107.05596,MOT_mc_special_01,l1,,
107.05596,MOT_mc_bg_black_00,b65-45,,
107.05596,MOT_mc_special_03,hj2,,
107.05596,1,4-1,,f1,
107.05596,4,4-1,,f1,
107.05596,5,4-1,,f1,
107.55591,1,lp1,,,
107.55591,4,lp1,,,
107.55591,5,lp1,,,
107.78922,MOT_mc_special_03,lp2,,
108.08919,MOT_mc_stage_color_00,y-flash,,
108.72246,2,hj3,,,
108.72246,3,hj3,,,
109.02243,MOT_mc_special_03,j2-3,,
109.22241,MOT_mc_stage_color_00,y-flash,,
109.38906,2,3-4,,f1,
109.38906,3,3-4,,f1,
109.72236,MOT_mc_special_03,lp3,,
110.3223,3,w4,,,
110.3223,2,w4,,,
110.62227,1,1-2,,,
110.62227,2,4-1,,,
110.62227,3,4-1,,,
110.62227,4,1-2,,,
110.62227,5,1-2,,,
111.05556,MOT_mc_special_03,j3-4,,
111.05556,1,2-3,,b0,
111.05556,2,1-2,,b0,
111.05556,3,1-2,,b0,
111.05556,4,2-3,,b0,
111.05556,5,2-3,,b0,
111.62217,MOT_mc_special_03,lp4,,
111.62217,1,lp3,,,
111.62217,2,lp2,,,
111.62217,3,lp2,,,
111.62217,4,lp3,,,
111.62217,5,lp3,,,
113.18867999999999,MOT_mc_special_03,sj4,,
113.18867999999999,1,sj3,,,
113.68862999999999,1,w3,,,
113.72196,MOT_mc_special_03,4-1,,
113.72196,4,sj3,,,
113.72196,5,sj3,,,
114.18858,MOT_mc_special_03,sj1,,
114.18858,2,j2-3,,,
114.18858,3,j2-3,,,
114.22191,5,w3,,,
114.22191,4,w3,,,
114.68853,MOT_mc_special_03,1-2,,
114.68853,1,lp3,,,
114.68853,2,lp3,,,
114.68853,3,lp3,,,
114.68853,4,lp3,,,
114.68853,5,lp3,,,
115.02183,MOT_mc_stage_color_00,y-flash,,
115.02183,MOT_mc_special_01,l1,,
115.15514999999999,MOT_mc_special_03,hj2,,
115.15514999999999,1,hj3,,,
115.22180999999999,2,hj3,,,
115.22180999999999,3,hj3,,,
115.28846999999999,4,hj3,,,
115.28846999999999,5,hj3,,,
115.82175,MOT_mc_special_03,lp2,,
115.95506999999999,1,sj3,,,
116.25504,2,sj3,,,
116.25504,3,sj3,,,
116.45501999999999,1,w3,,,
116.52167999999999,5,w3,,,
116.52167999999999,4,w3,,,
116.55501,4,sj3,,,
116.55501,5,sj3,,,
116.75498999999999,3,w3,,,
116.75498999999999,2,w3,,,
117.05496,5,w3,,,
117.05496,4,w3,,,
117.08829,MOT_mc_special_03,j2-3,,
117.08829,1,j3-4,,,
117.12162,MOT_mc_stage_color_00,y-flash,,
117.15495,2,j3-4,,,
117.15495,3,j3-4,,,
117.22161,4,j3-4,,,
117.22161,5,j3-4,,,
117.62156999999999,MOT_mc_special_03,lp3,,
118.02153,1,sj4,,,
118.22151,3,w4,,,
118.22151,2,w4,,,
118.28817,5,w4,,,
118.28817,4,w4,,,
118.3215,2,sj4,,,
118.3215,3,sj4,,,
118.52148,1,w4,,,
118.62146999999999,4,sj4,,,
118.62146999999999,5,sj4,,,
118.82145,3,w4,,,
118.82145,2,w4,,,
119.05476,1,j4-1,,,
119.12142,5,w4,,,
119.12142,4,w4,,,
119.12142,2,j4-1,,,
119.12142,3,j4-1,,,
119.18808,4,j4-1,,,
119.18808,5,j4-1,,,
119.28806999999999,MOT_mc_special_03,hj3,,
120.02132999999999,MOT_mc_special_03,lp3,,
120.12132,1,w1,,,
120.18798,3,w1,,,
120.18798,2,w1,,,
120.25464,5,w1,,,
120.25464,4,w1,,,
121.15455,MOT_mc_special_03,3-4,,
121.15455,4,j1-2,,,
121.15455,5,j1-2,,,
121.62116999999999,MOT_mc_special_03,4-1,,
121.62116999999999,3,j1-2,,,
121.62116999999999,2,j1-2,,,
122.12111999999999,MOT_mc_special_03,1-2,,
122.12111999999999,1,j1-2,,,
122.22111,5,w2,,,
122.22111,4,w2,,,
122.68772999999999,3,w2,,,
122.68772999999999,2,w2,,,
122.68772999999999,MOT_mc_special_03,2-3,,
122.68772999999999,1,2-3,,,
122.68772999999999,2,2-3,,,
122.68772999999999,3,2-3,,,
122.68772999999999,4,2-3,,,
122.68772999999999,5,2-3,,,
123.12102,MOT_control_all,mix1_07,,
123.12102,MOT_mc_stage_color_00,b-flash,,
123.12102,MOT_mc_light_up_00,l3,,
123.12102,MOT_mc_light_center_00,l3,,
123.12102,MOT_mc_light_under_00,l2,,
123.12102,MOT_mc_speaker_00,l1,,
123.12102,MOT_mc_back_00,l1,,
123.12102,MOT_mc_bg_black_00,b45-0,,
123.12102,MOT_mc_special_03,lp3,,
123.12102,3,3-4,r2,,
123.12102,2,3-4,l2,,
123.12102,5,3-4,r2,,
123.12102,4,3-4,l2,,
123.12102,1,j3-4,,,
123.12102,MOT_all,mix1_09,,
123.68763,1,sj4,,,
123.68763,2,sj4,,,
123.68763,3,sj4,,,
123.68763,4,sj4,,,
123.68763,5,sj4,,,
124.18758,5,w4,,,
124.18758,4,w4,,,
124.18758,3,w4,,,
124.18758,2,w4,,,
124.18758,1,w4,,,
124.22090999999999,3,4-1,rb1,,
124.22090999999999,2,4-1,lb1,,
124.22090999999999,5,4-1,rb1,,
124.22090999999999,4,4-1,lb1,,
124.22090999999999,1,j4-1,,,
124.75419,1,j1-2,,,
124.75419,2,j1-2,,,
124.75419,3,j1-2,,,
124.75419,4,j1-2,,,
124.75419,5,j1-2,,,
125.12082,MOT_mc_special_03,3-1,,
125.12082,3,2-3,r2,,
125.12082,2,2-3,l2,,
125.12082,5,2-3,r2,,
125.12082,4,2-3,l2,,
125.12082,1,j2-3,,,
125.55411,MOT_mc_special_03,lp1,,
125.75408999999999,1,sj3,,,
125.75408999999999,2,sj3,,,
125.75408999999999,3,sj3,,,
125.75408999999999,4,sj3,,,
125.75408999999999,5,sj3,,,
126.25403999999999,5,w3,,,
126.25403999999999,4,w3,,,
126.25403999999999,2,w3,,,
126.25403999999999,1,w3,,,
126.25403999999999,3,3-4,rb1,,
126.25403999999999,2,3-4,lb1,,
126.25403999999999,5,3-4,rb1,,
126.25403999999999,4,3-4,lb1,,
126.25403999999999,1,j3-4,,,
126.68732999999999,1,j4-1,,,
126.68732999999999,2,j4-1,,,
126.68732999999999,3,j4-1,,,
126.68732999999999,4,j4-1,,,
126.68732999999999,5,j4-1,,,
127.15395,1,1-2,l1,,
127.15395,4,1-2,l2,,
127.15395,5,1-2,rb0,,
127.68723,MOT_mc_special_03,j1-2,,
127.68723,3,1-2,rb0,,
127.68723,2,1-2,l2,,
128.08719,5,w2,,,
128.08719,4,w2,,,
128.08719,1,w2,,,
128.15385,1,2-3,l2,,
128.15385,4,2-3,l3,,
128.15385,5,2-3,l1,,
128.58714,MOT_mc_special_03,j2-3,,
128.58714,3,2-3,l1,,
128.58714,2,2-3,l3,,
128.9871,1,3-4,lb1,,
128.9871,4,3-4,lb2,,
128.9871,5,3-4,lb0,,
129.52038,3,w3,,,
129.52038,2,w3,,,
129.52038,MOT_mc_special_03,j3-4,,
129.52038,3,3-4,lb0,,
129.52038,2,3-4,lb2,,
129.92033999999998,5,w4,,,
129.92033999999998,4,w4,,,
129.92033999999998,1,w4,,,
129.987,1,4-1,lb0,,
129.987,4,4-1,lb1,,
129.987,5,4-1,r1,,
130.42029,3,4-1,r1,,
130.42029,2,4-1,lb1,,
130.62027,MOT_mc_special_03,j4-1,,
130.92024,5,w1,,,
130.92024,4,w1,,,
130.92024,1,w1,,,
131.12022,MOT_mc_stage_color_00,r-flash,,
131.12022,MOT_mc_speaker_00,l2,,
131.12022,MOT_mc_back_00,l2,,
131.12022,MOT_mc_special_01,l1,,
131.12022,3,1-2,r2,,
131.12022,2,1-2,l2,,
131.12022,5,1-2,r2,,
131.12022,4,1-2,l2,,
131.12022,1,j1-2,,,
131.12022,MOT_all,mix1_10,,
131.15355,MOT_mc_special_03,lp1,,
131.68683,1,sj2,,,
131.68683,2,sj2,,,
131.68683,3,sj2,,,
131.68683,4,sj2,,,
131.68683,5,sj2,,,
132.18678,5,w2,,,
132.18678,4,w2,,,
132.18678,3,w2,,,
132.18678,2,w2,,,
132.18678,1,w2,,,
132.22011,3,2-3,rb1,,
132.22011,2,2-3,lb1,,
132.22011,5,2-3,rb1,,
132.22011,4,2-3,lb1,,
132.22011,1,j2-3,,,
132.75339,1,j3-4,,,
132.75339,2,j3-4,,,
132.75339,3,j3-4,,,
132.75339,4,j3-4,,,
132.75339,5,j3-4,,,
133.18668,3,4-1,r2,,
133.18668,2,4-1,l2,,
133.18668,5,4-1,r2,,
133.18668,4,4-1,l2,,
133.18668,1,j4-1,,,
133.75329,1,sj1,,,
133.75329,2,sj1,,,
133.75329,3,sj1,,,
133.75329,4,sj1,,,
133.75329,5,sj1,,,
134.25324,5,w1,,,
134.25324,4,w1,,,
134.25324,2,w1,,,
134.25324,1,w1,,,
134.25324,3,1-2,rb1,,
134.25324,2,1-2,lb1,,
134.25324,5,1-2,rb1,,
134.25324,4,1-2,lb1,,
134.25324,1,j1-2,,,
134.68653,1,j2-3,,,
134.68653,2,j2-3,,,
134.68653,3,j2-3,,,
134.68653,4,j2-3,,,
134.68653,5,j2-3,,,
135.15314999999998,MOT_mc_special_03,j1-2,,
135.15314999999998,1,3-4,l1,,
135.15314999999998,4,3-4,l2,,
135.15314999999998,5,3-4,rb0,,
135.68643,3,3-4,rb0,,
135.68643,2,3-4,l2,,
136.08639,5,w4,,,
136.08639,4,w4,,,
136.08639,1,w4,,,
136.15305,MOT_mc_special_03,j2-3,,
136.15305,1,4-1,l2,,
136.15305,4,4-1,l3,,
136.15305,5,4-1,l1,,
136.58634,3,4-1,l1,,
136.58634,2,4-1,l3,,
136.9863,MOT_mc_special_03,j3-4,,
136.9863,1,1-2,lb1,,
136.9863,4,1-2,lb2,,
136.9863,5,1-2,lb0,,
137.51958,2,w1,,,
137.51958,3,1-2,lb0,,
137.51958,2,1-2,lb2,,
137.91953999999998,5,w2,,,
137.91953999999998,4,w2,,,
137.91953999999998,1,w2,,,
137.9862,1,2-3,lb0,,
137.9862,4,2-3,lb1,,
137.9862,5,2-3,r1,,
138.08619,MOT_mc_special_03,4-1,,
138.41949,3,2-3,r1,,
138.41949,2,2-3,lb1,,
138.61947,MOT_mc_special_03,j1-2,,
138.91943999999998,5,w3,,,
138.91943999999998,4,w3,,,
138.91943999999998,1,w3,,,
139.15275,1,lp3,,,
139.15275,4,lp3,,,
139.15275,5,lp3,,,
139.35272999999998,3,w3,,,
139.35272999999998,2,w3,,,
139.65269999999998,MOT_mc_special_03,j2-3,,
139.65269999999998,2,3-4,l2,,
139.65269999999998,3,3-4,r2,,
140.25263999999999,2,sj4,,,
140.25263999999999,3,sj4,,,
140.75259,3,w4,,,
140.75259,2,w4,,,
140.75259,MOT_mc_special_03,j3-4,,
140.75259,2,4-1,lb1,,
140.75259,3,4-1,rb1,,
140.75259,MOT_all,mix1_11,,
141.25253999999998,2,1-2,,,
141.25253999999998,3,1-2,,,
141.6525,2,sj2,,,
141.6525,3,sj2,,,
141.81915,MOT_mc_special_03,j4-1,,
142.05246,2,hj2,,,
142.05246,3,hj2,,,
142.81905,MOT_mc_special_03,j1-2,,
143.01903,2,lp2,,,
143.01903,3,lp2,,,
143.51898,4,3-4,l2,,
143.51898,5,3-4,r2,,
143.51898,1,3-4,,,
143.68563,MOT_mc_special_03,j2-3,,
144.11892,4,sj4,,,
144.11892,5,sj4,,,
144.11892,1,sj4,,,
144.61887,5,w4,,,
144.61887,1,w4,,,
144.61887,4,4-1,lb1,,
144.61887,5,4-1,rb1,,
144.61887,1,4-1,,,
144.78552,MOT_mc_special_03,j3-4,,
144.78552,MOT_all,mix1_12,,
145.11882,4,1-2,,,
145.11882,5,1-2,,,
145.11882,1,1-2,,,
145.51878,4,sj2,,,
145.51878,5,sj2,,,
145.51878,1,sj2,,,
145.85208,MOT_mc_special_03,j4-1,,
145.91873999999999,4,hj2,,,
145.91873999999999,5,hj2,,,
145.91873999999999,1,hj2,,,
146.85198,MOT_mc_special_03,j1-2,,
147.15195,5,w2,,,
147.15195,4,w2,,,
147.15195,1,w2,,,
147.18528,1,lp2,,b-1,
147.18528,4,lp2,,b-1,
147.18528,5,lp2,,b-1,
147.51858,MOT_mc_special_03,lp2,,
147.68523,2,2-3,l2,,
147.68523,3,2-3,r2,,
148.28517,2,sj3,,,
148.28517,3,sj3,,,
148.78512,3,w3,,,
148.78512,2,3-4,lb1,,
148.78512,3,3-4,rb1,,
149.28507,MOT_mc_special_03,2-3,,
149.28507,2,4-1,,,
149.28507,3,4-1,,,
149.28507,MOT_all,mix1_13,,
149.68502999999998,2,sj1,,,
149.68502999999998,3,sj1,,,
150.08499,MOT_mc_special_03,3-4,,
150.08499,2,hj1,,,
150.08499,3,hj1,,,
150.48495,MOT_mc_special_03,lp4,,
151.05156,2,lp1,,b-1,
151.05156,3,lp1,,b-1,
151.05156,4,2-3,,f0,
151.05156,5,2-3,,f0,
151.05156,1,2-3,,f0,
151.55150999999998,4,3-4,l2,,
151.55150999999998,5,3-4,r2,,
151.55150999999998,1,3-4,,,
152.15144999999998,4,sj4,,,
152.15144999999998,5,sj4,,,
152.15144999999998,1,sj4,,,
152.6514,5,w4,,,
152.6514,1,w4,,,
152.6514,4,4-1,lb1,,
152.6514,5,4-1,rb1,,
152.6514,1,4-1,,,
153.15134999999998,MOT_mc_special_03,4-1,,
153.15134999999998,4,1-2,,,
153.15134999999998,5,1-2,,,
153.15134999999998,1,1-2,,,
153.15134999999998,2,1-2,,f0,
153.15134999999998,3,1-2,,f0,
153.15134999999998,MOT_all,mix1_14,,
153.55131,3,j2-3,,,
153.55131,2,j2-3,,,
153.95127,MOT_control_all,mix1_08,,
153.95127,MOT_mc_light_up_00,l1,,
153.95127,MOT_mc_light_center_00,l1,,
153.95127,MOT_mc_light_under_00,l1,,
153.95127,MOT_mc_speaker_00,l1,,
153.95127,MOT_mc_back_00,l1,,
153.95127,MOT_mc_bg_black_00,b45-65,,
153.95127,MOT_mc_special_03,1-2,,
153.95127,4,hj2,,,
153.95127,5,hj2,,,
153.95127,1,hj2,,,
154.05125999999998,3,hj3,,,
154.05125999999998,2,hj3,,,
154.41789,MOT_mc_special_03,lp2,,
154.61786999999998,4,2-3,,,
154.61786999999998,5,2-3,,,
154.61786999999998,1,2-3,,,
154.61786999999998,2,3-4,,,
154.61786999999998,3,3-4,,,
154.9845,MOT_mc_special_01,l1,,
154.9845,2,j4-1,,,
154.9845,3,j4-1,,,
155.35112999999998,4,j3-4,,,
155.35112999999998,5,j3-4,,,
155.35112999999998,1,j3-4,,,
155.91773999999998,MOT_mc_special_03,j2-3,,
155.91773999999998,4,4-1,l2,,
155.91773999999998,5,4-1,r2,,
155.91773999999998,1,j4-1,,,
156.05106,3,w1,,,
156.05106,2,w1,,,
156.38436,3,1-2,r2,,
156.38436,2,1-2,l2,,
156.51767999999998,MOT_mc_special_03,lp3,,
156.85098,5,w1,,,
156.85098,4,w1,,,
156.9843,1,w1,,,
157.3176,3,w2,,,
157.3176,2,w2,,,
157.51757999999998,MOT_mc_special_03,j3-4,,
157.51757999999998,3,j2-3,,,
157.51757999999998,2,j2-3,,,
158.08419,MOT_mc_special_03,lp4,,
158.08419,4,1-2,lb1,,
158.08419,5,1-2,rb1,,
158.08419,1,j1-2,,,
158.55080999999998,3,3-4,rb1,,
158.55080999999998,2,3-4,lb1,,
159.01743,5,w2,,,
159.01743,4,w2,,,
159.15075,1,w2,,,
159.48405,3,w4,,,
159.48405,2,w4,,,
159.48405,4,2-3,lb0,,
159.48405,5,2-3,r2,,
159.48405,1,2-3,r1,,
160.15064999999998,MOT_mc_special_03,j4-1,,
160.41728999999998,5,w3,,,
160.41728999999998,4,w3,,,
160.41728999999998,1,w3,,,
160.51728,3,4-1,r2,,
160.51728,2,4-1,lb0,,
161.01722999999998,MOT_mc_special_03,j1-2,,
161.35053,1,3-4,rb0,,
161.35053,2,1-2,l1,,
161.35053,3,1-2,rb1,,
161.35053,4,3-4,l1,,
161.35053,5,3-4,rb1,,
161.71716,MOT_mc_special_03,lp2,,
162.01712999999998,MOT_mc_special_01,l1,,
162.28377,5,w4,,,
162.28377,4,w4,,,
162.28377,3,w2,,,
162.28377,2,w2,,,
162.28377,1,w4,,,
162.35043,4,4-1,l2,,
162.35043,5,4-1,rb0,,
162.35043,1,4-1,l1,,
163.25034,MOT_mc_special_03,2-3,,
163.25034,3,2-3,rb0,,
163.25034,2,2-3,l2,,
163.25034,MOT_all,mix1_15,,
163.28367,5,w1,,,
163.28367,4,w1,,,
163.28367,1,w1,,,
163.81695,MOT_mc_special_03,lp3,,
164.08359,4,1-2,lb1,,
164.08359,5,1-2,r1,,
164.08359,1,1-2,lb0,,
164.18358,3,w3,,,
164.18358,2,w3,,,
165.01683,5,w2,,,
165.01683,4,w2,,,
165.01683,1,w2,,,
165.01683,MOT_mc_special_03,3-4,,
165.01683,3,3-4,r1,,
165.01683,2,3-4,lb1,,
165.01683,MOT_all,mix1_16,,
165.58344,MOT_mc_special_03,lp4,,
165.95006999999998,3,w4,,,
165.95006999999998,2,w4,,,
165.95006999999998,1,sp2-3,,,
166.94996999999998,MOT_mc_special_03,4-1,,
166.94996999999998,2,sp4-1,,,
166.94996999999998,3,sp4-1,,,
167.51658,MOT_mc_special_03,lp1,,
167.84987999999998,4,sp2-3,,,
167.84987999999998,5,sp2-3,,,
167.84987999999998,MOT_all,mix1_17,,
168.78312,1,j3-4,,,
169.18308,1,lp4,,,
169.78302,2,j1-2,,,
169.78302,3,j1-2,,,
169.78302,MOT_all,mix1_18,,
170.18298,2,lp2,,,
170.18298,3,lp2,,,
170.68293,4,j3-4,,,
170.68293,5,j3-4,,,
171.11622,4,lp4,,,
171.11622,5,lp4,,,
171.58284,1,4-1,,,
171.68283,MOT_mc_special_03,sp1-2,,
171.68283,2,2-3,,,
171.68283,3,2-3,,,
171.78282,4,4-1,,,
171.78282,5,4-1,,,
172.14945,1,lp1,,,
172.14945,2,lp3,,,
172.14945,3,lp3,,,
172.14945,4,lp1,,,
172.14945,5,lp1,,,
173.38266,MOT_mc_special_03,sj2,,
173.38266,1,1-2,,b-1,
173.38266,4,1-2,,b-1,
173.38266,5,1-2,,b-1,
173.74929,1,sj2,,,
173.74929,2,sj3,,,
173.74929,3,sj3,,,
173.74929,4,sj2,,,
173.74929,5,sj2,,,
173.88261,MOT_mc_special_03,lp2,,
174.18258,2,3-4,,b-1,
174.18258,3,3-4,,b-1,
174.24924,5,w2,,,
174.24924,4,w2,,,
174.24924,1,w2,,,
174.44922,MOT_control_all,mix1_09,,
174.54921,1,j2-3,,,
174.54921,2,j4-1,,,
174.54921,3,j4-1,,,
174.54921,4,j2-3,,,
174.54921,5,j2-3,,,
174.9825,MOT_mc_stage_color_00,r-flash,,
174.9825,MOT_mc_light_up_00,l3,,
174.9825,MOT_mc_light_center_00,l3,,
174.9825,MOT_mc_light_under_00,l2,,
174.9825,MOT_mc_special_01,l1,,
174.9825,MOT_mc_bg_black_00,b45-0,,
174.9825,MOT_mc_special_03,2-3,,
174.9825,1,lp3,,,
174.9825,2,lp1,,,
174.9825,3,lp1,,,
174.9825,4,lp3,,,
174.9825,5,lp3,,,
175.04916,MOT_all,mix1_19,,
175.21581,4,3-4,,f0,
175.48245,MOT_mc_special_03,lp3,,
175.58244,5,3-4,,f0,
175.94907,2,1-2,,f0,
176.14905,4,w4,,,
176.28237,3,1-2,,f0,
176.51568,5,w4,,,
176.54900999999998,1,3-4,,f0,
176.88231,2,w2,,,
177.11561999999998,MOT_mc_special_03,3-4,,
177.11561999999998,4,j4-1,,,
177.21561,3,w2,,,
177.48225,1,w4,,,
177.48225,MOT_mc_special_03,sj4,,
177.48225,5,j4-1,,,
177.78222,2,j2-3,,,
177.78222,3,j2-3,,,
177.88221,MOT_mc_special_03,4-1,,
178.08219,1,j4-1,,,
178.18218,4,w1,,,
178.24884,MOT_mc_special_03,j1-2,,
178.54881,5,w1,,,
178.78212,MOT_mc_stage_color_00,r-flash,,
178.78212,MOT_mc_special_01,l1,,
178.78212,MOT_mc_special_03,lp2,,
178.78212,4,1-2,,b-1,
178.84878,3,w3,,,
178.84878,2,w3,,,
178.94877,MOT_all,mix1_20,,
179.14874999999998,1,w1,,,
179.14874999999998,5,1-2,,b-1,
179.44871999999998,2,3-4,,b-1,
179.71536,4,w2,,,
179.74868999999998,3,3-4,,b-1,
180.01533,1,1-2,,b-1,
180.08199,5,w2,,,
180.38196,2,w4,,,
180.6486,MOT_mc_special_03,2-4,,
180.6486,1,,,f0,
180.68193,3,w4,,,
180.94857,1,w2,,,
181.01523,MOT_mc_special_03,sj4,,
181.04855999999998,2,,,f0,
181.41519,MOT_mc_special_03,4-1,,
181.41519,3,,,f0,
181.71516,4,j2-3,,f0,
181.71516,5,j2-3,,f0,
181.78181999999998,MOT_mc_special_03,j1-2,,
182.3151,MOT_mc_special_03,lp2,,
182.54841,MOT_mc_stage_color_00,r-flash,,
182.54841,MOT_mc_special_01,l1,,
182.54841,2,j4-1,,,
182.54841,4,j3-4,,,
182.54841,MOT_all,mix1_21,,
182.78171999999998,5,w3,,,
182.84838,3,j4-1,,,
182.84838,5,j3-4,,,
183.21500999999998,1,j2-3,,,
183.51497999999998,1,j3-4,,,
183.51497999999998,2,j1-2,,,
183.51497999999998,3,j1-2,,,
183.61497,4,w4,,,
183.91494,5,w4,,,
183.91494,4,j4-1,,,
183.91494,5,j4-1,,,
184.3149,MOT_mc_special_03,2-3,,
184.3149,1,4-1,,,
184.3149,2,2-3,l2,,
184.3149,3,2-3,r2,,
184.3149,4,1-2,l2,,
184.3149,5,1-2,r2,,
184.3149,MOT_all,mix1_22,,
184.68152999999998,1,1-2,,,
184.68152999999998,2,3-4,l3,,
184.68152999999998,3,3-4,r3,,
184.68152999999998,4,2-3,l3,,
184.68152999999998,5,2-3,r3,,
184.78152,MOT_mc_special_03,lp3,,
185.04816,2,,l4,,
185.04816,3,,r4,,
185.04816,4,,l4,,
185.04816,5,,r4,,
185.41478999999998,1,j2-3,,,
185.44812,MOT_mc_stage_color_00,r-flash,,
185.48145,2,j4-1,,,
185.48145,3,j4-1,,,
185.54810999999998,4,j3-4,,,
185.54810999999998,5,j3-4,,,
186.14804999999998,MOT_all,mix1_23,,
186.21471,2,,lb3,,
186.21471,3,,rb3,,
186.21471,4,,lb3,,
186.21471,5,,rb3,,
186.21471,1,3-4,,,
186.21471,2,1-2,,,
186.21471,3,1-2,,,
186.21471,4,4-1,,,
186.21471,5,4-1,,,
186.71465999999998,2,,lb2,,
186.71465999999998,3,,rb2,,
186.71465999999998,4,,lb2,,
186.71465999999998,5,,rb2,,
187.14794999999998,5,w1,,,
187.14794999999998,4,w1,,,
187.14794999999998,3,w2,,,
187.14794999999998,2,w2,,,
187.14794999999998,1,w4,,,
187.21461,1,j4-1,,,
187.24794,MOT_mc_stage_color_00,r-flash,,
187.28126999999998,2,j2-3,,,
187.28126999999998,3,j2-3,,,
187.34793,4,j1-2,,,
187.34793,5,j1-2,,,
187.94787,MOT_mc_special_03,j3-4,,
187.94787,2,,lb1,,
187.94787,3,,rb1,,
187.94787,4,,lb1,,
187.94787,5,,rb1,,
187.94787,1,1-2,,,
187.94787,2,3-4,,,
187.94787,3,3-4,,,
187.94787,4,2-3,,,
187.94787,5,2-3,,,
188.31449999999998,2,,lb0,,
188.31449999999998,3,,rb0,,
188.31449999999998,4,,lb0,,
188.31449999999998,5,,rb0,,
